,0
V2,448.53372647365535
V2ax,448.53372647365535
V2tang,0.0
W2ax,448.53372647365535
W2tang,-474.3445480020079
W2,652.8286559301553
beta2,-46.6020159732513
T2t,1473.447471390136
T2,1395.536620386011
M2,0.6248991722903936
M2rel,0.9095237719256888
T2trel,1560.5846736723138
P2,15.664734729376274
T2rel,1308.4010324591402
P2trel,25.896905933179706
P2rel,11.721897478686811
Yp,0.04087006611268095
KP,0.7490160906149708
Y_shock,0.010769181327782408
Y_profile_total,0.028496149165997554
X_Re,0.9840073744807606
Re,1083947.465015015
Cl,2.324272783875639
Y_secondary,0.057699710307617176
Y_TET,0.025086302754823677
Y_TC,0.015108852784688412
Y_total_rotor,0.12593528677077465
rho2,3.9099624150589563
error_P2t,0.023356171159795557
error_b2,7.769003479089855e-09
b2,0.05548061854862685
P2t_calculated,19.53287657680409
NumBlades_rotor,38.0
